内容,时间,点赞,转发,评论,赞转评合计,文本长度,作者
我们的社会已经开始面临严重问题，严重到忠诚、守信、孝悌、守规矩的孩子，90%到社会上会吃亏。钱文忠  ,2024/1/20 8:01,2763,237,46,3046,51,钱文忠
“最高贵的惩罚是沉默，最矜持的报复是无视。” 杨绛  ,2024/1/20 0:50,1153,177,16,1346,27,杨绛
爱情来了不要害怕，好好享受，因为它会逝去；爱情走了不要害怕，因为天下乌鸦在，男人就在；事业失败了不要害怕，因为还有新的机会，而人生是注定失败的；一无所有不要害怕，因为人都是从一无所有开始的。反正怎么都不要害怕，大不了重新再来。余秀华《无端欢喜》  ,2024/1/19 19:08,671,126,11,808,124,余秀华
要自杀的人，也会怕大海的汪洋，怕夏天死尸的易烂。但遇到澄静的清池，凉爽的秋夜，他往往也自杀了。鲁迅《小杂感》  ,2024/1/19 17:38,4349,522,34,4905,56,鲁迅
“生命是用来享受的，不是用来熬日子的。”李银河  ,2024/1/19 14:39,2105,366,28,2499,25,李银河
无论在何种困顿中，唯有内心的自由馈赠我们真正的未来。陈春成《夜晚的潜水艇》  ,2024/1/19 10:14,699,92,12,803,39,陈春成
人真的好奇怪，只有在快要死的时候，才会思考起怎么活。陆春吾《一生悬命》  ,2024/1/18 16:01,817,110,9,936,37,陆春吾
我对他说，走过去吧，那里树叶会向你招手，石头会向你微笑，河水会向你问候。那里没有贫贱也没有富贵，没有悲伤也没有疼痛，没有仇也没有恨……那里人人死而平等。他问：“那是什么地方？”我说：“死无葬身之地。”余华  ,2024/1/18 11:36,729,168,19,916,104,余华
爱不在任何结局，能爱而去爱或不能爱而不去爱这种过程，才是终极的意义。邱妙津《鳄鱼手记》  ,2024/1/18 9:33,2024,358,19,2401,45,邱妙津
如果你不诚实面对自己的感觉，自己所需要的，那么你永远无法诚实地爱别人。邱妙津《鳄鱼手记》  ,2024/1/17 17:17,2349,441,19,2809,46,邱妙津
他的话，他的誓言，他的真挚，在灯光、烛光和美酒佳肴的五彩缤纷中闪耀着光芒，更在他自己眼睛里闪烁着光芒。这光芒是美丽的、真纯的、毋庸置疑的。可是如果把它放在漫长的时间里，放在曲折复杂、充满尘污、难以预知的生活现实里，还能永葆这样的明洁与清纯吗？ 冯骥才 《多瑙河峡谷》  ,2024/1/17 10:34,483,93,6,582,135,冯骥才
但是太阳，他每时每刻都是夕阳也都是旭日。当他熄灭着走下山去收尽苍凉残照之际，正是他在另一面燃烧着爬上山巅布散烈烈朝辉之时。史铁生  ,2024/1/17 7:45,1605,188,7,1800,66,史铁生
“为什么还要给一个不值得你爱的人写信？”“或许跟这个人无关，是为了我自己的爱”邱妙津《蒙马特遗书》  ,2024/1/17 2:31,2798,351,27,3176,51,邱妙津
“这个世界，对于心态好的人，是开心肆意的天堂，只要你有想法，想怎么玩怎么玩。对于怯懦者，那就是地狱，你会觉得世界在与你为敌。你眼中的世界是什么样子，取决于你是一个什么样的人。”冯唐  ,2024/1/16 17:21,492,97,5,594,92,冯唐
告诉我。光是要去爱的动能、纯洁、忍耐和决心，够不够？够不够？邱妙津《鳄鱼手记》  ,2024/1/16 13:16,682,84,5,771,41,邱妙津
生活是由许许多多不如意的细节构成的，完美主义者都是心力交瘁的苦命人。木心  ,2024/1/16 10:18,1333,232,19,1584,38,木心 
但是二十岁上下的人，不谈恋爱尚且可做到，不向往爱情则不可能，除非心理有毛病。史铁生《我与地坛》  ,2024/1/16 8:18,5691,296,151,6138,49,史铁生
人不可以逃避苦难，亦不可以放弃希望。命运并不受贿，但希望与你同在，这才是信仰的真意，是信者的路。史铁生《病隙碎笔》  ,2024/1/15 22:28,1366,206,4,1576,59,史铁生
浪漫，就是浪费时间慢慢吃饭，浪费时间慢慢喝茶，浪费时间慢慢走，浪费时间慢慢变老。林清玄《人间有味是清欢》  ,2024/1/15 16:23,930,116,16,1062,54,林清玄
“一次又一次觉得，灵智比肉欲要性感得多。”木心《云雀叫了一整天》  ,2024/1/15 13:10,1683,204,33,1920,34,木心
我的人生理想有三：1.不工作；2.没人管；3.单身汉。木心  ,2024/1/15 9:40,5795,657,106,6558,31,木心
人最大的悲哀是失去曾经有过最大渴望的欲望。邱妙津《鳄鱼手记》  ,2024/1/15 7:55,1854,258,16,2128,32,邱妙津
无论谁再要对我讲一句重话，我就发疯了。白先勇《寂寞的十七岁》  ,2024/1/14 20:29,4015,905,58,4978,32,白先勇
死是一件不必急于求成的事，死是一个必然会降临的节日。史铁生《我与地坛》  ,2024/1/14 16:56,2503,235,19,2757,37,史铁生
“天下只有两种人。譬如一串葡萄到手，一种人挑最好的吃，另一种人把最好吃的留在最后吃。照例第一种人应该乐观，因为他每吃一颗都是吃剩的葡萄里最好的；第二种人应该悲观，因为他每吃一颗都是吃剩的葡萄里最坏的。不过事实上适得其反，缘故是第二种人还有希望，第一种人只有回忆。”钱钟书《围城》  ,2024/1/14 14:57,672,117,27,816,141,钱钟书
